,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Sex_male,Embarked_Q,Embarked_S
60,0,0,22.0,0,0,7.2292,0,False,True,False,False,True,False,False
61,1,2,38.0,0,0,80.0,0,True,False,False,False,False,False,False
62,0,2,45.0,1,0,83.475,1,False,True,False,False,True,False,True
63,0,0,4.0,3,2,27.9,5,False,False,False,False,True,False,True
64,0,2,32.38721804511278,0,0,27.7208,0,False,True,False,False,True,False,False
65,1,0,4.574166666666667,1,1,15.2458,2,False,False,False,False,True,False,False
66,1,1,29.0,0,0,10.5,0,False,False,True,False,False,False,True
67,0,0,19.0,0,0,8.1583,0,False,True,False,False,True,False,True
68,1,0,17.0,4,2,7.925,6,True,False,False,False,False,False,True
69,0,0,26.0,2,0,8.6625,2,False,True,False,False,True,False,True
70,0,1,32.0,0,0,10.5,0,False,True,False,False,True,False,True
71,0,0,16.0,5,2,46.9,7,True,False,False,False,False,False,True
72,0,1,21.0,0,0,73.5,0,False,True,False,False,True,False,True
73,0,0,26.0,1,0,14.4542,1,False,True,False,False,True,False,False
74,1,0,32.0,0,0,56.4958,0,False,True,False,False,True,False,True
75,0,0,25.0,0,0,7.65,0,False,True,False,False,True,False,True
76,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
77,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
78,1,1,0.83,0,2,29.0,2,False,False,False,False,True,False,True
79,1,0,30.0,0,0,12.475,0,True,False,False,False,False,False,True
80,0,0,22.0,0,0,9.0,0,False,True,False,False,True,False,True
81,1,0,29.0,0,0,9.5,0,False,True,False,False,True,False,True
82,1,0,21.845637583892618,0,0,7.7875,0,True,False,False,False,False,True,False
83,0,2,28.0,0,0,47.1,0,False,True,False,False,True,False,True
84,1,1,17.0,0,0,10.5,0,True,False,False,False,False,False,True
85,1,0,33.0,3,0,15.85,3,False,False,True,False,False,False,True
86,0,0,16.0,1,3,34.375,4,False,True,False,False,True,False,True
87,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
88,1,2,23.0,3,2,263.0,5,True,False,False,False,False,False,True
89,0,0,24.0,0,0,8.05,0,False,True,False,False,True,False,True
90,0,0,29.0,0,0,8.05,0,False,True,False,False,True,False,True
91,0,0,20.0,0,0,7.8542,0,False,True,False,False,True,False,True
92,0,2,46.0,1,0,61.175,1,False,True,False,False,True,False,True
93,0,0,26.0,1,2,20.575,3,False,True,False,False,True,False,True
94,0,0,59.0,0,0,7.25,0,False,True,False,False,True,False,True
95,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
96,0,2,71.0,0,0,34.6542,0,False,True,False,False,True,False,False
97,1,2,23.0,0,1,63.3583,1,False,True,False,False,True,False,False
98,1,1,34.0,0,1,23.0,1,False,False,True,False,False,False,True
99,0,1,34.0,1,0,26.0,1,False,True,False,False,True,False,True
100,0,0,28.0,0,0,7.8958,0,True,False,False,False,False,False,True
101,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
102,0,2,21.0,0,1,77.2875,1,False,True,False,False,True,False,True
103,0,0,33.0,0,0,8.6542,0,False,True,False,False,True,False,True
104,0,0,37.0,2,0,7.925,2,False,True,False,False,True,False,True
105,0,0,28.0,0,0,7.8958,0,False,True,False,False,True,False,True
106,1,0,21.0,0,0,7.65,0,True,False,False,False,False,False,True
107,1,0,32.38721804511278,0,0,7.775,0,False,True,False,False,True,False,True
108,0,0,38.0,0,0,7.8958,0,False,True,False,False,True,False,True
109,1,0,21.845637583892618,1,0,24.15,1,True,False,False,False,False,True,False
110,0,2,47.0,0,0,52.0,0,False,True,False,False,True,False,True
111,0,0,14.5,1,0,14.4542,1,True,False,False,False,False,False,False
112,0,0,22.0,0,0,8.05,0,False,True,False,False,True,False,True
113,0,0,20.0,1,0,9.825,1,True,False,False,False,False,False,True
114,0,0,17.0,0,0,14.4583,0,True,False,False,False,False,False,False
115,0,0,21.0,0,0,7.925,0,False,True,False,False,True,False,True
116,0,0,70.5,0,0,7.75,0,False,True,False,False,True,True,False
117,0,1,29.0,1,0,21.0,1,False,True,False,False,True,False,True
118,0,2,24.0,0,1,247.5208,1,False,True,False,False,True,False,False
119,0,0,2.0,4,2,31.275,6,True,False,False,False,False,False,True
120,0,1,21.0,2,0,73.5,2,False,True,False,False,True,False,True
121,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
122,0,1,32.5,1,0,30.0708,1,False,True,False,False,True,False,False
123,1,1,32.5,0,0,13.0,0,True,False,False,False,False,False,True
124,0,2,54.0,0,1,77.2875,1,False,True,False,False,True,False,True
125,1,0,12.0,1,0,11.2417,1,False,False,False,False,True,False,False
126,0,0,32.38721804511278,0,0,7.75,0,False,True,False,False,True,True,False
127,1,0,24.0,0,0,7.1417,0,False,True,False,False,True,False,True
128,1,0,21.845637583892618,1,1,22.3583,2,True,False,False,False,False,False,False
129,0,0,45.0,0,0,6.975,0,False,True,False,False,True,False,True
130,0,0,33.0,0,0,7.8958,0,False,True,False,False,True,False,False
131,0,0,20.0,0,0,7.05,0,False,True,False,False,True,False,True
132,0,0,47.0,1,0,14.5,1,False,False,True,False,False,False,True
133,1,1,29.0,1,0,26.0,1,False,False,True,False,False,False,True
134,0,1,25.0,0,0,13.0,0,False,True,False,False,True,False,True
135,0,1,23.0,0,0,15.0458,0,False,True,False,False,True,False,False
136,1,2,19.0,0,2,26.2833,2,True,False,False,False,False,False,True
137,0,2,37.0,1,0,53.1,1,False,True,False,False,True,False,True
138,0,0,16.0,0,0,9.2167,0,False,True,False,False,True,False,True
139,0,2,24.0,0,0,79.2,0,False,True,False,False,True,False,False
140,0,0,35.9,0,2,15.2458,2,False,False,True,False,False,False,False
141,1,0,22.0,0,0,7.75,0,True,False,False,False,False,False,True
142,1,0,24.0,1,0,15.85,1,False,False,True,False,False,False,True
143,0,0,19.0,0,0,6.75,0,False,True,False,False,True,True,False
144,0,1,18.0,0,0,11.5,0,False,True,False,False,True,False,True
145,0,1,19.0,1,1,36.75,2,False,True,False,False,True,False,True
146,1,0,27.0,0,0,7.7958,0,False,True,False,False,True,False,True
147,0,0,9.0,2,2,34.375,4,True,False,False,False,False,False,True
148,0,1,36.5,0,2,26.0,2,False,True,False,False,True,False,True
149,0,1,42.0,0,0,13.0,0,False,False,False,True,True,False,True
150,0,1,51.0,0,0,12.525,0,False,False,False,True,True,False,True
151,1,2,22.0,1,0,66.6,1,False,False,True,False,False,False,True
152,0,0,55.5,0,0,8.05,0,False,True,False,False,True,False,True
153,0,0,40.5,0,2,14.5,2,False,True,False,False,True,False,True
154,0,0,32.38721804511278,0,0,7.3125,0,False,True,False,False,True,False,True
155,0,2,51.0,0,1,61.3792,1,False,True,False,False,True,False,False
156,1,0,16.0,0,0,7.7333,0,True,False,False,False,False,True,False
157,0,0,30.0,0,0,8.05,0,False,True,False,False,True,False,True
158,0,0,32.38721804511278,0,0,8.6625,0,False,True,False,False,True,False,True
159,0,0,4.574166666666667,8,2,69.55,10,False,False,False,False,True,False,True
160,0,0,44.0,0,1,16.1,1,False,True,False,False,True,False,True
161,1,1,40.0,0,0,15.75,0,False,False,True,False,False,False,True
162,0,0,26.0,0,0,7.775,0,False,True,False,False,True,False,True
163,0,0,17.0,0,0,8.6625,0,False,True,False,False,True,False,True
164,0,0,1.0,4,1,39.6875,5,False,False,False,False,True,False,True
165,1,0,9.0,0,2,20.525,2,False,False,False,False,True,False,True
166,1,2,35.9,0,1,55.0,1,False,False,True,False,False,False,True
167,0,0,45.0,1,4,27.9,5,False,False,True,False,False,False,True
168,0,2,32.38721804511278,0,0,25.925,0,False,True,False,False,True,False,True
169,0,0,28.0,0,0,56.4958,0,False,True,False,False,True,False,True
170,0,2,61.0,0,0,33.5,0,False,True,False,False,True,False,True
171,0,0,4.0,4,1,29.125,5,False,False,False,False,True,True,False
172,1,0,1.0,1,1,11.1333,2,True,False,False,False,False,False,True
173,0,0,21.0,0,0,7.925,0,False,True,False,False,True,False,True
174,0,2,56.0,0,0,30.6958,0,False,True,False,False,True,False,False
175,0,0,18.0,1,1,7.8542,2,False,True,False,False,True,False,True
176,0,0,4.574166666666667,3,1,25.4667,4,False,False,False,False,True,False,True
177,0,2,50.0,0,0,28.7125,0,True,False,False,False,False,False,False
178,0,1,30.0,0,0,13.0,0,False,True,False,False,True,False,True
179,0,0,36.0,0,0,0.0,0,False,True,False,False,True,False,True
180,0,0,21.845637583892618,8,2,69.55,10,True,False,False,False,False,False,True
181,0,1,32.38721804511278,0,0,15.05,0,False,True,False,False,True,False,False
182,0,0,9.0,4,2,31.3875,6,False,False,False,False,True,False,True
183,1,1,1.0,2,1,39.0,3,False,False,False,False,True,False,True
184,1,0,4.0,0,2,22.025,2,True,False,False,False,False,False,True
185,0,2,32.38721804511278,0,0,50.0,0,False,True,False,False,True,False,True
186,1,0,35.9,1,0,15.5,1,False,False,True,False,False,True,False
187,1,2,45.0,0,0,26.55,0,False,True,False,False,True,False,True
188,0,0,40.0,1,1,15.5,2,False,True,False,False,True,True,False
189,0,0,36.0,0,0,7.8958,0,False,True,False,False,True,False,True
190,1,1,32.0,0,0,13.0,0,False,False,True,False,False,False,True
191,0,1,19.0,0,0,13.0,0,False,True,False,False,True,False,True
192,1,0,19.0,1,0,7.8542,1,True,False,False,False,False,False,True
193,1,1,3.0,1,1,26.0,2,False,False,False,False,True,False,True
194,1,2,44.0,0,0,27.7208,0,False,False,True,False,False,False,False
195,1,2,58.0,0,0,146.5208,0,True,False,False,False,False,False,False
196,0,0,32.38721804511278,0,0,7.75,0,False,True,False,False,True,True,False
197,0,0,42.0,0,1,8.4042,1,False,True,False,False,True,False,True
198,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
199,0,1,24.0,0,0,13.0,0,True,False,False,False,False,False,True
200,0,0,28.0,0,0,9.5,0,False,True,False,False,True,False,True
201,0,0,32.38721804511278,8,2,69.55,10,False,True,False,False,True,False,True
202,0,0,34.0,0,0,6.4958,0,False,True,False,False,True,False,True
203,0,0,45.5,0,0,7.225,0,False,True,False,False,True,False,False
204,1,0,18.0,0,0,8.05,0,False,True,False,False,True,False,True
205,0,0,2.0,0,1,10.4625,1,True,False,False,False,False,False,True
206,0,0,32.0,1,0,15.85,1,False,True,False,False,True,False,True
207,1,0,26.0,0,0,18.7875,0,False,True,False,False,True,False,False
208,1,0,16.0,0,0,7.75,0,True,False,False,False,False,True,False
209,1,2,40.0,0,0,31.0,0,False,True,False,False,True,False,False
210,0,0,24.0,0,0,7.05,0,False,True,False,False,True,False,True
211,1,1,35.0,0,0,21.0,0,True,False,False,False,False,False,True
212,0,0,22.0,0,0,7.25,0,False,True,False,False,True,False,True
213,0,1,30.0,0,0,13.0,0,False,True,False,False,True,False,True
214,0,0,32.38721804511278,1,0,7.75,1,False,True,False,False,True,True,False
215,1,2,31.0,1,0,113.275,1,True,False,False,False,False,False,False
216,1,0,27.0,0,0,7.925,0,True,False,False,False,False,False,True
217,0,1,42.0,1,0,27.0,1,False,True,False,False,True,False,True
218,1,2,32.0,0,0,76.2917,0,True,False,False,False,False,False,False
219,0,1,30.0,0,0,10.5,0,False,True,False,False,True,False,True
220,1,0,16.0,0,0,8.05,0,False,True,False,False,True,False,True
221,0,1,27.0,0,0,13.0,0,False,True,False,False,True,False,True
222,0,0,51.0,0,0,8.05,0,False,True,False,False,True,False,True
223,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
224,1,2,38.0,1,0,90.0,1,False,True,False,False,True,False,True
225,0,0,22.0,0,0,9.35,0,False,True,False,False,True,False,True
226,1,1,19.0,0,0,10.5,0,False,True,False,False,True,False,True
227,0,0,20.5,0,0,7.25,0,False,True,False,False,True,False,True
228,0,1,18.0,0,0,13.0,0,False,True,False,False,True,False,True
229,0,0,21.845637583892618,3,1,25.4667,4,True,False,False,False,False,False,True
230,1,2,35.0,1,0,83.475,1,False,False,True,False,False,False,True
231,0,0,29.0,0,0,7.775,0,False,True,False,False,True,False,True
232,0,1,59.0,0,0,13.5,0,False,True,False,False,True,False,True
233,1,0,5.0,4,2,31.3875,6,True,False,False,False,False,False,True
234,0,1,24.0,0,0,10.5,0,False,True,False,False,True,False,True
235,0,0,21.845637583892618,0,0,7.55,0,True,False,False,False,False,False,True
236,0,1,44.0,1,0,26.0,1,False,True,False,False,True,False,True
237,1,1,8.0,0,2,26.25,2,True,False,False,False,False,False,True
238,0,1,19.0,0,0,10.5,0,False,True,False,False,True,False,True
239,0,1,33.0,0,0,12.275,0,False,True,False,False,True,False,True
240,0,0,21.845637583892618,1,0,14.4542,1,True,False,False,False,False,False,False
241,1,0,21.845637583892618,1,0,15.5,1,True,False,False,False,False,True,False
242,0,1,29.0,0,0,10.5,0,False,True,False,False,True,False,True
243,0,0,22.0,0,0,7.125,0,False,True,False,False,True,False,True
244,0,0,30.0,0,0,7.225,0,False,True,False,False,True,False,False
245,0,2,44.0,2,0,90.0,2,False,False,False,True,True,True,False
246,0,0,25.0,0,0,7.775,0,True,False,False,False,False,False,True
247,1,1,24.0,0,2,14.5,2,False,False,True,False,False,False,True
248,1,2,37.0,1,1,52.5542,2,False,True,False,False,True,False,True
249,0,1,54.0,1,0,26.0,1,False,False,False,True,True,False,True
250,0,0,32.38721804511278,0,0,7.25,0,False,True,False,False,True,False,True
251,0,0,29.0,1,1,10.4625,2,False,False,True,False,False,False,True
252,0,2,62.0,0,0,26.55,0,False,True,False,False,True,False,True
253,0,0,30.0,1,0,16.1,1,False,True,False,False,True,False,True
254,0,0,41.0,0,2,20.2125,2,False,False,True,False,False,False,True
255,1,0,29.0,0,2,15.2458,2,False,False,True,False,False,False,False
256,1,2,35.9,0,0,79.2,0,False,False,True,False,False,False,False
257,1,2,30.0,0,0,86.5,0,True,False,False,False,False,False,True
258,1,2,35.0,0,0,512.3292,0,True,False,False,False,False,False,False
259,1,1,50.0,0,1,26.0,1,False,False,True,False,False,False,True
260,0,0,32.38721804511278,0,0,7.75,0,False,True,False,False,True,True,False
261,1,0,3.0,4,2,31.3875,6,False,False,False,False,True,False,True
262,0,2,52.0,1,1,79.65,2,False,True,False,False,True,False,True
263,0,2,40.0,0,0,0.0,0,False,True,False,False,True,False,True
264,0,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
265,0,1,36.0,0,0,10.5,0,False,True,False,False,True,False,True
266,0,0,16.0,4,1,39.6875,5,False,True,False,False,True,False,True
267,1,0,25.0,1,0,7.775,1,False,True,False,False,True,False,True
268,1,2,58.0,0,1,153.4625,1,False,False,True,False,False,False,True
269,1,2,35.0,0,0,135.6333,0,True,False,False,False,False,False,True
270,0,2,32.38721804511278,0,0,31.0,0,False,True,False,False,True,False,True
271,1,0,25.0,0,0,0.0,0,False,True,False,False,True,False,True
272,1,1,41.0,0,1,19.5,1,False,False,True,False,False,False,True
273,0,2,37.0,0,1,29.7,1,False,True,False,False,True,False,False
274,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
275,1,2,63.0,1,0,77.9583,1,True,False,False,False,False,False,True
276,0,0,45.0,0,0,7.75,0,True,False,False,False,False,False,True
277,0,1,32.38721804511278,0,0,0.0,0,False,True,False,False,True,False,True
278,0,0,7.0,4,1,29.125,5,False,False,False,False,True,True,False
279,1,0,35.0,1,1,20.25,2,False,False,True,False,False,False,True
280,0,0,65.0,0,0,7.75,0,False,True,False,False,True,True,False
281,0,0,28.0,0,0,7.8542,0,False,True,False,False,True,False,True
282,0,0,16.0,0,0,9.5,0,False,True,False,False,True,False,True
283,1,0,19.0,0,0,8.05,0,False,True,False,False,True,False,True
284,0,2,32.38721804511278,0,0,26.0,0,False,True,False,False,True,False,True
285,0,0,33.0,0,0,8.6625,0,False,True,False,False,True,False,False
286,1,0,30.0,0,0,9.5,0,False,True,False,False,True,False,True
287,0,0,22.0,0,0,7.8958,0,False,True,False,False,True,False,True
288,1,1,42.0,0,0,13.0,0,False,True,False,False,True,False,True
289,1,0,22.0,0,0,7.75,0,True,False,False,False,False,True,False
290,1,2,26.0,0,0,78.85,0,True,False,False,False,False,False,True
291,1,2,19.0,1,0,91.0792,1,False,False,True,False,False,False,False
292,0,1,36.0,0,0,12.875,0,False,True,False,False,True,False,False
293,0,0,24.0,0,0,8.85,0,True,False,False,False,False,False,True
294,0,0,24.0,0,0,7.8958,0,False,True,False,False,True,False,True
295,0,2,32.38721804511278,0,0,27.7208,0,False,True,False,False,True,False,False
296,0,0,23.5,0,0,7.2292,0,False,True,False,False,True,False,False
297,0,2,2.0,1,2,151.55,3,True,False,False,False,False,False,True
298,1,2,32.38721804511278,0,0,30.5,0,False,True,False,False,True,False,True
299,1,2,50.0,0,1,247.5208,1,False,False,True,False,False,False,False
300,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
301,1,0,32.38721804511278,2,0,23.25,2,False,True,False,False,True,True,False
302,0,0,19.0,0,0,0.0,0,False,True,False,False,True,False,True
303,1,1,21.845637583892618,0,0,12.35,0,True,False,False,False,False,True,False
304,0,0,32.38721804511278,0,0,8.05,0,False,True,False,False,True,False,True
305,1,2,0.92,1,2,151.55,3,False,False,False,False,True,False,True
306,1,2,21.845637583892618,0,0,110.8833,0,True,False,False,False,False,False,False
307,1,2,17.0,1,0,108.9,1,False,False,True,False,False,False,False
308,0,1,30.0,1,0,24.0,1,False,True,False,False,True,False,False
309,1,2,30.0,0,0,56.9292,0,True,False,False,False,False,False,False
310,1,2,24.0,0,0,83.1583,0,True,False,False,False,False,False,False
311,1,2,18.0,2,2,262.375,4,True,False,False,False,False,False,False
312,0,1,26.0,1,1,26.0,2,False,False,True,False,False,False,True
313,0,0,28.0,0,0,7.8958,0,False,True,False,False,True,False,True
314,0,1,43.0,1,1,26.25,2,False,True,False,False,True,False,True
315,1,0,26.0,0,0,7.8542,0,True,False,False,False,False,False,True
316,1,1,24.0,1,0,26.0,1,False,False,True,False,False,False,True
317,0,1,54.0,0,0,14.0,0,False,False,False,True,True,False,True
318,1,2,31.0,0,2,164.8667,2,True,False,False,False,False,False,True
319,1,2,40.0,1,1,134.5,2,False,False,True,False,False,False,False
320,0,0,22.0,0,0,7.25,0,False,True,False,False,True,False,True
321,0,0,27.0,0,0,7.8958,0,False,True,False,False,True,False,True
322,1,1,30.0,0,0,12.35,0,True,False,False,False,False,True,False
323,1,1,22.0,1,1,29.0,2,False,False,True,False,False,False,True
324,0,0,32.38721804511278,8,2,69.55,10,False,True,False,False,True,False,True
325,1,2,36.0,0,0,135.6333,0,True,False,False,False,False,False,False
326,0,0,61.0,0,0,6.2375,0,False,True,False,False,True,False,True
327,1,1,36.0,0,0,13.0,0,False,False,True,False,False,False,True
328,1,0,31.0,1,1,20.525,2,False,False,True,False,False,False,True
329,1,2,16.0,0,1,57.9792,1,True,False,False,False,False,False,False
330,1,0,21.845637583892618,2,0,23.25,2,True,False,False,False,False,True,False
331,0,2,45.5,0,0,28.5,0,False,True,False,False,True,False,True
332,0,2,38.0,0,1,153.4625,1,False,True,False,False,True,False,True
333,0,0,16.0,2,0,18.0,2,False,True,False,False,True,False,True
334,1,2,35.9,1,0,133.65,1,False,False,True,False,False,False,True
335,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
336,0,2,29.0,1,0,66.6,1,False,True,False,False,True,False,True
337,1,2,41.0,0,0,134.5,0,True,False,False,False,False,False,False
338,1,0,45.0,0,0,8.05,0,False,True,False,False,True,False,True
339,0,2,45.0,0,0,35.5,0,False,True,False,False,True,False,True
340,1,1,2.0,1,1,26.0,2,False,False,False,False,True,False,True
341,1,2,24.0,3,2,263.0,5,True,False,False,False,False,False,True
342,0,1,28.0,0,0,13.0,0,False,True,False,False,True,False,True
343,0,1,25.0,0,0,13.0,0,False,True,False,False,True,False,True
344,0,1,36.0,0,0,13.0,0,False,True,False,False,True,False,True
345,1,1,24.0,0,0,13.0,0,True,False,False,False,False,False,True
346,1,1,40.0,0,0,13.0,0,True,False,False,False,False,False,True
347,1,0,35.9,1,0,16.1,1,False,False,True,False,False,False,True
348,1,0,3.0,1,1,15.9,2,False,False,False,False,True,False,True
349,0,0,42.0,0,0,8.6625,0,False,True,False,False,True,False,True
350,0,0,23.0,0,0,9.225,0,False,True,False,False,True,False,True
351,0,2,32.38721804511278,0,0,35.0,0,False,True,False,False,True,False,True
352,0,0,15.0,1,1,7.2292,2,False,True,False,False,True,False,False
353,0,0,25.0,1,0,17.8,1,False,True,False,False,True,False,True
354,0,0,32.38721804511278,0,0,7.225,0,False,True,False,False,True,False,False
355,0,0,28.0,0,0,9.5,0,False,True,False,False,True,False,True
356,1,2,22.0,0,1,55.0,1,True,False,False,False,False,False,True
357,0,1,38.0,0,0,13.0,0,True,False,False,False,False,False,True
358,1,0,21.845637583892618,0,0,7.8792,0,True,False,False,False,False,True,False
359,1,0,21.845637583892618,0,0,7.8792,0,True,False,False,False,False,True,False
360,0,0,40.0,1,4,27.9,5,False,True,False,False,True,False,True
361,0,1,29.0,1,0,27.7208,1,False,True,False,False,True,False,False
362,0,0,45.0,0,1,14.4542,1,False,False,True,False,False,False,False
363,0,0,35.0,0,0,7.05,0,False,True,False,False,True,False,True
364,0,0,32.38721804511278,1,0,15.5,1,False,True,False,False,True,True,False
365,0,0,30.0,0,0,7.25,0,False,True,False,False,True,False,True
366,1,2,60.0,1,0,75.25,1,False,False,True,False,False,False,False
367,1,0,35.9,0,0,7.2292,0,False,False,True,False,False,False,False
368,1,0,21.845637583892618,0,0,7.75,0,True,False,False,False,False,True,False
369,1,2,24.0,0,0,69.3,0,False,False,True,False,False,False,False
370,1,2,25.0,1,0,55.4417,1,False,True,False,False,True,False,False
371,0,0,18.0,1,0,6.4958,1,False,True,False,False,True,False,True
372,0,0,19.0,0,0,8.05,0,False,True,False,False,True,False,True
373,0,2,22.0,0,0,135.6333,0,False,True,False,False,True,False,False
374,0,0,3.0,3,1,21.075,4,True,False,False,False,False,False,True
375,1,2,35.9,1,0,82.1708,1,False,False,True,False,False,False,False
376,1,0,22.0,0,0,7.25,0,True,False,False,False,False,False,True
377,0,2,27.0,0,2,211.5,2,False,True,False,False,True,False,False
378,0,0,20.0,0,0,4.0125,0,False,True,False,False,True,False,False
379,0,0,19.0,0,0,7.775,0,False,True,False,False,True,False,True
380,1,2,42.0,0,0,227.525,0,True,False,False,False,False,False,False
381,1,0,1.0,0,2,15.7417,2,True,False,False,False,False,False,False
382,0,0,32.0,0,0,7.925,0,False,True,False,False,True,False,True
383,1,2,35.0,1,0,52.0,1,False,False,True,False,False,False,True
384,0,0,32.38721804511278,0,0,7.8958,0,False,True,False,False,True,False,True
385,0,1,18.0,0,0,73.5,0,False,True,False,False,True,False,True
386,0,0,1.0,5,2,46.9,7,False,False,False,False,True,False,True
387,1,1,36.0,0,0,13.0,0,True,False,False,False,False,False,True
388,0,0,32.38721804511278,0,0,7.7292,0,False,True,False,False,True,True,False
389,1,1,17.0,0,0,12.0,0,True,False,False,False,False,False,False
390,1,2,36.0,1,2,120.0,3,False,True,False,False,True,False,True
391,1,0,21.0,0,0,7.7958,0,False,True,False,False,True,False,True
392,0,0,28.0,2,0,7.925,2,False,True,False,False,True,False,True
393,1,2,23.0,1,0,113.275,1,True,False,False,False,False,False,False
394,1,0,24.0,0,2,16.7,2,False,False,True,False,False,False,True
